time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y
129935964	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0
129947017	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0
129958011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0
129969009	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0
129980006	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0
129991016	600.8690	508.8790	235.7023	174.1941	47.4624	47.4496	0	0
130003003	600.8690	508.8790	235.7023	174.1941	200.8832	174.1941	3	2
130015012	600.8690	508.8790	235.7023	174.1941	235.7023	174.1941	6	4
130027015	600.8690	508.8790	235.7023	174.1941	235.7023	174.1941	9	6
130039000	600.8690	508.8790	235.7023	174.1941	235.7023	174.1941	12	9
130051008	600.2910	507.7940	242.0684	178.5498	242.0684	178.5498	15	11
130063000	600.2910	507.7940	242.0684	178.5498	242.0684	178.5498	17	13
130075012	600.2910	507.7940	242.0684	178.5498	242.0684	178.5498	20	15
130087006	600.2910	507.7940	242.0684	178.5498	242.0684	178.5498	23	17
130099009	600.2910	507.7940	242.0684	178.5498	242.0684	178.5498	26	19
130111005	600.2320	509.2750	249.1997	185.2609	249.1997	185.2609	29	21
130123010	600.2320	509.2750	249.1997	185.2609	249.1997	185.2609	32	24
130135003	600.2320	509.2750	249.1997	185.2609	249.1997	185.2609	35	26
130147015	600.2320	509.2750	249.1997	185.2609	249.1997	185.2609	38	28
130159008	600.2320	509.2750	249.1997	185.2609	249.1997	185.2609	41	30
130171010	601.7670	509.3630	258.9679	190.8347	258.9679	190.8347	44	32
130183018	601.7670	509.3630	258.9679	190.8347	258.9679	190.8347	47	35
130195011	601.7670	509.3630	258.9679	190.8347	258.9679	190.8347	50	37
130207004	601.7670	509.3630	258.9679	190.8347	258.9679	190.8347	53	39
130219011	601.7670	509.3630	258.9679	190.8347	258.9679	190.8347	56	42
130231244	600.6000	507.9010	264.7500	195.0616	258.9679	190.8347	59	44
130243008	600.6000	507.9010	264.7500	195.0616	264.7500	195.0616	63	46
