time	obj_x	obj_y	setspd_x	setspd_y	spd_x	spd_y	step_x	step_y	integral_x	integral_y
33353153	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000
33365010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000
33377016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000
33389000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000
33401005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000
33413008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000
33425012	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000
33437015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	0	0.0000	0.0000
33449012	609.6870	462.5020	145.4498	68.9764	124.0064	68.9764	1	0	15.7628	7.4752
33462009	609.6870	462.5020	145.4498	68.9764	145.4498	68.9764	3	1	15.7628	7.4752
33475009	609.6870	462.5020	145.4498	68.9764	145.4498	68.9764	5	2	15.7628	7.4752
33488009	609.6870	462.5020	145.4498	68.9764	145.4498	68.9764	7	3	15.7628	7.4752
33501009	609.6870	462.5020	145.4498	68.9764	145.4498	68.9764	8	4	15.7628	7.4752
33514009	609.6870	462.5020	145.4498	68.9764	145.4498	68.9764	10	5	15.7628	7.4752
33527009	609.6870	462.5020	145.4498	68.9764	145.4498	68.9764	12	6	15.7628	7.4752
33540009	609.6870	462.5020	145.4498	68.9764	145.4498	68.9764	14	6	15.7628	7.4752
33553009	609.6870	462.5020	145.4498	68.9764	145.4498	68.9764	16	7	15.7628	7.4752
33566006	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	18	8	19.7359	9.3782
33579009	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	20	9	19.7359	9.3782
33592006	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	22	10	19.7359	9.3782
33605009	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	24	11	19.7359	9.3782
33618010	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	26	12	19.7359	9.3782
33631011	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	28	13	19.7359	9.3782
33644010	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	30	14	19.7359	9.3782
33657010	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	31	15	19.7359	9.3782
33670010	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	33	16	19.7359	9.3782
33683008	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	35	17	19.7359	9.3782
33696008	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	37	18	19.7359	9.3782
33709008	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	39	18	19.7359	9.3782
33722008	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	41	19	19.7359	9.3782
33735008	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	43	20	19.7359	9.3782
33748008	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	45	21	19.7359	9.3782
33761008	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	47	22	19.7359	9.3782
33774008	609.1630	463.1110	148.8989	71.2448	148.8989	71.2448	49	23	19.7359	9.3782
33787016	608.7560	463.7060	155.6659	75.0688	155.1197	75.0688	51	24	26.9100	12.8452
33800001	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	53	25	26.9100	12.8452
33813002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	55	26	26.9100	12.8452
33826002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	57	27	26.9100	12.8452
33839002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	59	28	26.9100	12.8452
33852002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	61	29	26.9100	12.8452
33865002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	63	30	26.9100	12.8452
33878002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	65	31	26.9100	12.8452
33891002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	67	32	26.9100	12.8452
33904002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	69	33	26.9100	12.8452
33917002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	71	34	26.9100	12.8452
33930002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	73	35	26.9100	12.8452
33943002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	75	36	26.9100	12.8452
33956002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	77	37	26.9100	12.8452
33969002	608.7560	463.7060	155.6659	75.0688	155.6659	75.0688	79	38	26.9100	12.8452
33982011	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	81	39	33.1375	15.8310
33995011	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	83	40	33.1375	15.8310
34008011	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	85	41	33.1375	15.8310
34021011	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	88	42	33.1375	15.8310
34034011	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	90	43	33.1375	15.8310
34047011	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	92	44	33.1375	15.8310
34060011	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	94	45	33.1375	15.8310
34073011	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	96	46	33.1375	15.8310
34086011	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	98	47	33.1375	15.8310
34099011	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	100	48	33.1375	15.8310
34112015	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	102	49	33.1375	15.8310
34125005	609.0250	463.1030	162.1625	77.6928	162.1625	77.6928	104	50	33.1375	15.8310
34138013	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	107	51	38.2545	18.2503
34151015	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	109	52	38.2545	18.2503
34164005	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	111	53	38.2545	18.2503
34177014	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	113	54	38.2545	18.2503
34190015	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	115	55	38.2545	18.2503
34203005	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	118	56	38.2545	18.2503
34216014	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	120	57	38.2545	18.2503
34229004	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	122	58	38.2545	18.2503
34242006	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	124	59	38.2545	18.2503
34255014	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	126	60	38.2545	18.2503
34268015	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	129	61	38.2545	18.2503
34281005	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	131	62	38.2545	18.2503
34294014	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	133	63	38.2545	18.2503
34307015	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	135	64	38.2545	18.2503
34320004	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	137	65	38.2545	18.2503
34333006	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	140	66	38.2545	18.2503
34346014	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	142	67	38.2545	18.2503
34359015	610.9180	463.1630	169.1725	80.1481	169.1725	80.1481	144	68	38.2545	18.2503
